model,model_num,precision,recall,f1,num_TP,num_FP,pr_auc,roc_auc,correct_pred_confidence,new_num_TP,new_num_FP,learning_rate,weight_decay
MPNN,0,1.0,0.036071428571428574,0.06963116166839022,101,0,0.8517076202208136,0.7665654761904761,0.9864317688152541 ± 0.049623828864980186,20,0,0.0011324075646153176,0.0007370408233274084
MPNN,44,1.0,0.0007142857142857143,0.0014275517487508922,2,0,0.7410418966642563,0.6805429563492063,0.8634646349358108 ± 0.01735994198210553,0,0,1.0389038109766665e-05,6.777106613071095e-05
MPNN,22,1.0,0.00035714285714285714,0.0007140307033202428,1,0,0.8306072067784889,0.7896327380952382,0.9211428160595603 ± 0.007608304900336998,0,0,2.20154386513816e-05,1.67513112283432e-05
MPNN,63,1.0,0.00035714285714285714,0.0007140307033202428,1,0,0.804154156820515,0.730691369047619,0.9041418920393655 ± 0.009183006588679562,0,0,2.32106028322622e-05,1.663376232692317e-05
MPNN,35,1.0,0.3475,0.5157699443413729,973,0,0.9679211270852349,0.9478759920634923,0.9643052403695527 ± 0.07537323852745423,129,0,0.0012766307365289155,7.395823566131964e-05
MPNN,13,1.0,0.0007142857142857143,0.0014275517487508922,2,0,0.7847206191304099,0.7080755952380953,0.9038988009268846 ± 0.015888012822740997,0,0,1.966151776027918e-05,2.0783106315163203e-05
MPNN,73,1.0,0.00035714285714285714,0.0007140307033202428,1,0,0.6517339808795619,0.5889501984126984,0.9855801415692256 ± 0.01120422348070252,0,0,6.725780210712425e-05,2.7521584548617094e-05
MPNN,93,1.0,0.45785714285714285,0.6281234688878001,1282,0,0.9210525672696595,0.844315873015873,0.9754762006657448 ± 0.08332211727606904,882,0,0.006674141625618063,1.0587648479882297e-06
MPNN,86,0.9954379562043796,0.3896428571428571,0.5600616016427105,1091,5,0.9000796956768218,0.8413506944444445,0.962066639103744 ± 0.061230469413265355,789,0,0.0009994527467888175,0.0006870520917151066
MPNN,97,0.962852897473997,0.46285714285714286,0.6251808972503617,1296,50,0.8711091096873811,0.7852404761904761,0.9703780137894807 ± 0.07002857637899798,1174,0,0.001046560429509347,0.0006569537473235589
MPNN,72,0.9591364687740941,0.4442857142857143,0.6072736148401269,1244,53,0.8712305715869888,0.7920628968253969,0.9731119353818015 ± 0.06687084155741596,1053,0,0.0010776911668247155,0.0006868359420199598
MPNN,79,0.9584954604409858,0.2639285714285714,0.4138896667600112,739,32,0.8307164347280264,0.7392853174603174,0.9431867208108001 ± 0.09224091655795405,200,0,0.0010400515028787176,0.0006473502092619583
MPNN,52,0.9570422535211267,0.4853571428571429,0.6440758293838863,1359,61,0.9160468789676386,0.8694363095238095,0.973673059643316 ± 0.07021593043402709,1202,0,0.001068609211401681,0.0006630887424427233
MPNN,87,0.9545454545454546,0.0075,0.014883061658398299,21,1,0.7645194917016158,0.6868412698412699,0.9625435506229053 ± 0.044117041727380006,0,0,7.218234515446466e-05,2.5845475320588174e-05
MPNN,77,0.9174841315637623,0.5678571428571428,0.7015221707478491,1590,143,0.8995400315065156,0.8325144841269841,0.9540209204131611 ± 0.0938032963641977,1310,1,0.0009724522679866114,0.0006770617330597958
MPNN,29,0.90988011575031,0.7860714285714285,0.843456600881395,2201,218,0.9467492986193982,0.9285607142857143,0.8328286080601242 ± 0.13794560193177713,0,0,0.0010819303617955697,6.72308099917224e-05
MPNN,96,0.9016927083333334,0.49464285714285716,0.6388376383763837,1385,151,0.8888242187740815,0.827699503968254,0.97260768214259 ± 0.08431381366223212,1064,49,0.0068376012267114174,1.076991578602668e-06
MPNN,70,0.8982142857142857,0.5389285714285714,0.6736607142857143,1509,171,0.8784143498738015,0.811235119047619,0.7945329587552827 ± 0.13717533922095687,0,0,6.113744436305027e-05,2.251637022730115e-05
MPNN,2,0.875968992248062,0.040357142857142855,0.07715944008193923,113,16,0.7446693339824249,0.6734235119047619,0.8223870957508864 ± 0.06927149140869923,0,0,1.1339023068660644e-05,5.6936694910201856e-05
